sale_id,fecha,hora,sale_total,metodo_pago,mesa,notas,linea_num,product_id,product_name,quantity,unit_price,line_subtotal
sale-1773189651626-ocgrqngs1,2026-03-10,14,5500,efectivo,,Ventas 10 marzo: 1 cerveza + 2 cigarrillos.,1,cerveza-club-colombia-330,Cerveza Club Colombia 330cm3,1,3500,3500
sale-1773189651626-ocgrqngs1,2026-03-10,14,5500,efectivo,,Ventas 10 marzo: 1 cerveza + 2 cigarrillos.,2,cig-marlboro-rojo,Cigarrillo Marlboro rojo,2,1000,2000
sale-1773189651500-pyoi6zb2m,2026-03-09,14,10500,efectivo,,Ventas 9 marzo: 1 hervido + 1 cerveza.,1,bebida-1767479537737-5pcmv20sn,Hervido de fruta de temporada,1,6000,6000
sale-1773189651500-pyoi6zb2m,2026-03-09,14,10500,efectivo,,Ventas 9 marzo: 1 hervido + 1 cerveza.,2,cerveza-club-colombia-330,Cerveza Club Colombia 330cm3,1,4500,4500
sale-1772997552773-5vwyqrfnr,2026-03-06,23,35000,efectivo,Ing. Harold,Ing. Harold: 1/2 botella Smirnoff.,1,vodka-smirnoff-media,1/2 botella Vodka Smirnoff,1,35000,35000
sale-1772997552756-fh7c5k68k,2026-03-06,22,13000,efectivo,Oscar Guerrero,"Oscar Guerrero: 3 Club, 1 cigarro.",1,cerveza-club-colombia-330,Cerveza Club Colombia 330cm3,3,4000,12000
sale-1772997552756-fh7c5k68k,2026-03-06,22,13000,efectivo,Oscar Guerrero,"Oscar Guerrero: 3 Club, 1 cigarro.",2,cigarro-suelto,Cigarro suelto,1,1000,1000
sale-1772997552730-8ln2tnscd,2026-03-06,21,82000,efectivo-aporte,Mesa 2 - Mauricio,[APORTE] Pagó $74.000 de $82.000 (deuda $8.000 a nombre de Mauricio - Mesa 2). Incluye deuda anterior $58.000.,1,refajo,Refajo,1,5000,5000
sale-1772997552730-8ln2tnscd,2026-03-06,21,82000,efectivo-aporte,Mesa 2 - Mauricio,[APORTE] Pagó $74.000 de $82.000 (deuda $8.000 a nombre de Mauricio - Mesa 2). Incluye deuda anterior $58.000.,2,cafe-negro,Café negro artesanal,1,4000,4000
sale-1772997552730-8ln2tnscd,2026-03-06,21,82000,efectivo-aporte,Mesa 2 - Mauricio,[APORTE] Pagó $74.000 de $82.000 (deuda $8.000 a nombre de Mauricio - Mesa 2). Incluye deuda anterior $58.000.,3,papas,Papas,1,7000,7000
sale-1772997552730-8ln2tnscd,2026-03-06,21,82000,efectivo-aporte,Mesa 2 - Mauricio,[APORTE] Pagó $74.000 de $82.000 (deuda $8.000 a nombre de Mauricio - Mesa 2). Incluye deuda anterior $58.000.,4,cerveza-club-colombia-330,Cerveza,2,4000,8000
sale-1772997552699-z2ze7kuhv,2026-03-06,20,375000,efectivo,Mauri,"Mariana Estuduantes: tequila, 2 empanadas, soda, 2 botellas, 1 cerveza. Pendiente: 1 copa $7.000.",1,tequila-olmeca-shot,Tequila (shot),1,10000,10000
sale-1772997552699-z2ze7kuhv,2026-03-06,20,375000,efectivo,Mauri,"Mariana Estuduantes: tequila, 2 empanadas, soda, 2 botellas, 1 cerveza. Pendiente: 1 copa $7.000.",2,acompanante,Empanada,2,4000,8000
sale-1772997552699-z2ze7kuhv,2026-03-06,20,375000,efectivo,Mauri,"Mariana Estuduantes: tequila, 2 empanadas, soda, 2 botellas, 1 cerveza. Pendiente: 1 copa $7.000.",3,bebida-soda,Soda,1,3000,3000
sale-1772997552699-z2ze7kuhv,2026-03-06,20,375000,efectivo,Mauri,"Mariana Estuduantes: tequila, 2 empanadas, soda, 2 botellas, 1 cerveza. Pendiente: 1 copa $7.000.",4,botella-generica,Botella de licor,2,175000,350000
sale-1772997552699-z2ze7kuhv,2026-03-06,20,375000,efectivo,Mauri,"Mariana Estuduantes: tequila, 2 empanadas, soda, 2 botellas, 1 cerveza. Pendiente: 1 copa $7.000.",5,cerveza-club-colombia-330,Cerveza,1,4000,4000
sale-1772997552673-dnzzvo0pw,2026-03-06,19,18000,efectivo-aporte,Vecino,[APORTE] Pagó $14.000 de $18.000 (deuda $4.000 a nombre de Vecino),1,bebida-limonada,Limonada,2,7500,15000
sale-1772997552673-dnzzvo0pw,2026-03-06,19,18000,efectivo-aporte,Vecino,[APORTE] Pagó $14.000 de $18.000 (deuda $4.000 a nombre de Vecino),2,acompanante,Acompañante del día (Empanada),1,3000,3000
sale-1772666871725-p46zrn5iz,2026-03-04,18,11000,nequi,,café inga de aponte,1,cafe-negro,Café negro artesanal,2,4000,8000
sale-1772666871725-p46zrn5iz,2026-03-04,18,11000,nequi,,café inga de aponte,2,acompanante,Acompañante del día (empanada o buñuelo),1,3000,3000
sale-1772682136027-4r30l0ajo,2026-03-04,12,28000,efectivo,,vecino edificio ,1,bebida-1767479537737-5pcmv20sn,Hervido de fruta de temporada,4,7000,28000
sale-1772680986261-vi6caad13,2026-03-04,12,14000,efectivo,,sras universidad,1,bebida-1767479537737-5pcmv20sn,Hervido de fruta de temporada,2,7000,14000
sale-1772680954826-eoq0jmnkf,2026-03-04,12,7000,efectivo,,don ivan,1,cerveza-poker-330,Cerveza Poker,2,3500,7000
sale-1772680905315-gtytkpbeo,2026-03-03,12,45000,nequi,,compra erika y ferney,1,bebida-1767479537737-5pcmv20sn,Hervido de fruta de temporada,4,7000,28000
sale-1772680905315-gtytkpbeo,2026-03-03,12,45000,nequi,,compra erika y ferney,2,prod-1770687422697-le373wgmo,Cerveza michelada,1,5000,5000
sale-1772680905315-gtytkpbeo,2026-03-03,12,45000,nequi,,compra erika y ferney,3,gin-gordons-shot,Shot ginebra,1,12000,12000
sale-1772679539684-vq90dm836,2026-03-03,12,58000,efectivo-aporte,,Mauricio con el sobrino  [APORTE] Pagó $0 de $58.000 (deuda $58.000 a nombre de Mauricio),1,bebida-1767479537737-5pcmv20sn,Hervido de fruta de temporada,4,7000,28000
sale-1772679539684-vq90dm836,2026-03-03,12,58000,efectivo-aporte,,Mauricio con el sobrino  [APORTE] Pagó $0 de $58.000 (deuda $58.000 a nombre de Mauricio),2,prod-aromatica,Aromática,2,4000,8000
sale-1772679539684-vq90dm836,2026-03-03,12,58000,efectivo-aporte,,Mauricio con el sobrino  [APORTE] Pagó $0 de $58.000 (deuda $58.000 a nombre de Mauricio),3,acompanante,Acompañante del día (empanada o buñuelo),2,3000,6000
sale-1772679539684-vq90dm836,2026-03-03,12,58000,efectivo-aporte,,Mauricio con el sobrino  [APORTE] Pagó $0 de $58.000 (deuda $58.000 a nombre de Mauricio),4,sandwich-dia,Sándwich del día,1,10000,10000
sale-1772679539684-vq90dm836,2026-03-03,12,58000,efectivo-aporte,,Mauricio con el sobrino  [APORTE] Pagó $0 de $58.000 (deuda $58.000 a nombre de Mauricio),5,cerveza-club-colombia-330,Cerveza Club Colombia,1,4000,4000
sale-1772679539684-vq90dm836,2026-03-03,12,58000,efectivo-aporte,,Mauricio con el sobrino  [APORTE] Pagó $0 de $58.000 (deuda $58.000 a nombre de Mauricio),6,prod-suspiros,Suspiros,2,1000,2000
sale-1772662034380-778e4jfx6,2026-03-03,12,4000,efectivo,,vecino del tequila ,1,cafe-negro,Café negro artesanal,1,4000,4000
sale-1772661881157-ts4a7xjdj,2026-02-25,12,20000,nequi,,venta sonia a clientes organicos,1,bebida-1767479537737-5pcmv20sn,Hervido de fruta de temporada,2,7000,14000
sale-1772661881157-ts4a7xjdj,2026-02-25,12,20000,nequi,,venta sonia a clientes organicos,2,acompanante,Acompañante del día (empanada o buñuelo),2,3000,6000
sale-1772661681998-pfsshd9yt,2026-02-23,12,30000,nequi,,vecino que pidió el cable para cargar,1,cerveza-budweiser,Cerveza Budweiser,8,3500,28000
sale-1772661681998-pfsshd9yt,2026-02-23,12,30000,nequi,,vecino que pidió el cable para cargar,2,cig-marlboro-morado,Marlboro Morado,2,1000,2000
sale-1772648479672-mcnx525mo,2026-02-19,12,28000,nequi,,Oscar guerror en la barra,1,cerveza-budweiser,Cerveza Budweiser,4,3500,14000
sale-1772648479672-mcnx525mo,2026-02-19,12,28000,nequi,,Oscar guerror en la barra,2,bebida-1767479537737-5pcmv20sn,Hervido de fruta de temporada,2,7000,14000
sale-1772648161648-7k3l5gcfx,2026-02-19,12,7000,efectivo,,vecino edificio,1,bebida-1767479537737-5pcmv20sn,Hervido de fruta de temporada,1,7000,7000
sale-1772647839276-9m8pderko,2026-02-19,12,87000,efectivo,,equipo emssanar ,1,bebida-1767479537737-5pcmv20sn,Hervido de fruta de temporada,8,7000,56000
